ააგო	ɑ ɑ ɡ ɔ
ჯარიმა	d ʒ ɑ r ɪ m ɑ
ჯაშუში	d ʒ ɑ ʃ u ʃ i
ჯაჭვი	d ʒ ɑ t ʃʼ v i
ჯგუფი	d ʒ ɡ u pʰ ɪ
ჯგუფური	d ʒ ɡ u pʰ u r i
ჯდომა	d ʒ d ɔ m ɑ
ჯეიმსი	d ʒ ɛ ɪ m s ɪ
ჯიბე	d ʒ ɪ b ɛ
ჯილდო	d ʒ i l d ɔ
ჯიმი	d ʒ ɪ m ɪ
ჯინი	d ʒ ɪ n ɪ
ჯიუტად	d ʒ ɪ u tʼ ɑ d
ჯონ	d ʒ ɔ n
ჯონი	d ʒ ɔ n ɪ
ჯორჯ	d ʒ ɔ r d ʒ
ჯოჯოხეთური	d ʒ ɔ d ʒ ɔ χ ɛ tʰ u r ɪ
ჯულიეტა	d ʒ u l ɪ ɛ tʼ ɑ
ჰაერი	h ɑ ɛ r i
ჰამაკი	h ɑ m ɑ kʼ i
ჰარმონიულად	h ɑ r m ɔ n ɪ u l ɑ d
ჰექტარი	h ɛ kʰ tʼ ɑ r ɪ
ჰიბრიდი	h ɪ b r ɪ d ɪ
ჰიბრიდული	h ɪ b r ɪ d u l ɪ
ჰიგიენური	h ɪ ɡ ɪ ɛ n u r ɪ
ჰილარი	h ɪ l ɑ r ɪ
ჰიმნი	h i m n i
ჰო	h ɔ
ჰობი	h ɔ b ɪ
ჰოლანდიური	h ɔ l ɑ n d ɪ u r ɪ
ჰომოსექსუალობა	h ɔ m ɔ s ɛ kʰ s u ɑ l ɔ b ɑ
ჰორიზონტალურად	h ɔ r ɪ z ɔ n tʼ ɑ l u r ɑ d
ჰორიზონტი	h ɔ r ɪ z ɔ n tʼ ɪ
ჰოროსკოპი	h ɔ r ɔ s kʼ ɔ pʼ ɪ
ჰუმანიტარული	h u m ɑ n ɪ tʼ ɑ r u l ɪ
ჰუმანური	h u m ɑ n u r ɪ
ჰქვია	h kʰ v i ɑ
ჰქონდა	h kʰ ɔ n d ɑ
ჰყავს	h qʼ ɑ v s
